Size,AverageComparisons,nlogn
30,9.2,147.207
40,22,212.877
50,20.5,282.193
60,32.5,354.413
70,30.2,429.05
80,55,505.754
90,47.7,584.267
100,66.1,664.386
110,52.1,745.95
120,71.9,828.827
130,64.1,912.908
140,37.6,998.1
150,83.7,1084.32
160,102.5,1171.51
170,63.2,1259.6
180,107.9,1348.53
190,92.9,1438.27
200,119.7,1528.77
210,100.4,1619.99
220,95.9,1711.9
230,124.8,1804.46
240,114.6,1897.65
250,65.7,1991.45
260,115.6,2085.82
270,92.1,2180.74
280,146.6,2276.2
290,148.7,2372.17
300,148.6,2468.65
310,165.2,2565.6
320,157.5,2663.02
330,182.6,2760.89
340,182.4,2859.19
350,173.5,2957.92
360,141.8,3057.07
370,132,3156.61
380,175.5,3256.55
390,155.4,3356.86
400,117.9,3457.54
410,177.5,3558.59
420,192.6,3659.98
430,236.6,3761.72
440,166.6,3863.8
450,255.1,3966.2
460,236,4068.93
470,217.3,4171.96
480,273.6,4275.31
490,278.5,4378.95
500,188.3,4482.89
510,358.3,4587.12
520,242.9,4691.63
530,292,4796.42
540,238.8,4901.48
550,367,5006.81
560,265.6,5112.4
570,201.1,5218.25
580,287.5,5324.35
590,322.2,5430.7
600,246.9,5537.29
610,342.7,5644.13
620,225,5751.2
630,332.6,5858.5
640,313.2,5966.03
650,236,6073.79
660,297.4,6181.77
670,222.9,6289.97
680,272,6398.39
690,422.5,6507.01
700,167.5,6615.85
710,457.7,6724.89
720,441.3,6834.13
730,362.7,6943.58
740,363.9,7053.22
750,479,7163.06
760,384.9,7273.09
770,411.5,7383.31
780,342.9,7493.72
790,406.1,7604.31
800,346.9,7715.08
810,623.7,7826.04
820,303.4,7937.17
830,419,8048.48
840,402.2,8159.97
850,329.4,8271.62
860,515,8383.45
870,385.1,8495.44
880,335.8,8607.6
890,521.1,8719.92
900,329.2,8832.4
910,334.2,8945.05
920,586.5,9057.85
930,518.7,9170.81
940,441.4,9283.93
950,446.3,9397.19
960,320.1,9510.61
970,468.2,9624.19
980,493.8,9737.91
990,442.8,9851.77
1000,423.1,9965.78
